theta_array,theta_org,x_array,y_array,xi_x_array,xi_y_array,fmpi_x_array,fmpi_y_array
3.94838764230547+0i,1.5600558271606+0i,-4.97487579902406+0i,-4.91825211309604+0i,-0,0,-0.069181623625003+0i,-0.0722073607924318+0i
3.92274776438392+0i,1.56004631625431+0i,-5.0458858688506+0i,-4.98866212646935+0i,0,0,-0.0710100698265384+0i,-0.0704100133733132+0i
3.96727226091431+0i,1.56003249686604+0i,-5.1136916293414+0i,-5.06216300295572+0i,0,-0,-0.067805760490802+0i,-0.0735008764863658+0i
3.94664031926737+0i,1.56002936108997+0i,-5.18299931687675+0i,-5.1342493709354+0i,0,0,-0.0693076875353459+0i,-0.0720863679796871+0i
3.92740396661842+0i,1.56001117192504+0i,-5.25368077487076+0i,-5.20498925710892+0i,-0,-0,-0.0706814579940053+0i,-0.0707398861735137+0i
3.8907109268984+0i,1.55999751843953+0i,-5.32690973521693+0i,-5.27308859166234+0i,0,-0,-0.0732289603461752+0i,-0.0680993345534176+0i
3.90627989423051+0i,1.55999312830304+0i,-5.39906962717481+0i,-5.34231972622351+0i,-0,0,-0.0721598919578788+0i,-0.0692311345611731+0i
3.91682722957018+0i,1.55997657453425+0i,-5.47049531495653+0i,-5.41230809043434+0i,0,0,-0.0714256877817241+0i,-0.0699883642108292+0i
3.93682744004585+0i,1.55996304067141+0i,-5.54050702908005+0i,-5.48371089069796+0i,-0,-0,-0.0700117141235184+0i,-0.0714028002636223+0i
3.92388157126314+0i,1.55995116044554+0i,-5.61143722192381+0i,-5.55420137050302+0i,0,-0,-0.0709301928437557+0i,-0.0704904798050604+0i
3.95064577770658+0i,1.55993897379622+0i,-5.68045561530522+0i,-5.62656476853718+0i,0,-0,-0.0690183933814063+0i,-0.0723633980341544+0i
3.9062897542703+0i,1.55993004261195+0i,-5.75261482463784+0i,-5.69579661459439+0i,-0,-0,-0.0721592093326294+0i,-0.0692318460572139+0i
3.9034685406406+0i,1.55991771373465+0i,-5.82496906437281+0i,-5.7648246088603+0i,-0,0,-0.0723542397349675+0i,-0.0690279942659125+0i
3.95511823170786+0i,1.55990656668269+0i,-5.89366312658314+0i,-5.83749596371931+0i,0,-0,-0.0686940622103261+0i,-0.0726713548590079+0i
3.91617678115074+0i,1.5598957409509+0i,-5.96513432307303+0i,-5.90743785440224+0i,-0,0,-0.0714711964898925+0i,-0.0699418906829318+0i
3.92327494323817+0i,1.55988034734306+0i,-6.03610726436364+0i,-5.97788529299698+0i,-0,0,-0.0709729412906079+0i,-0.0704474385947419+0i
3.9648101159207+0i,1.5598678196476+0i,-6.10409378896215+0i,-6.05121899925145+0i,0,0,-0.0679865245985123+0i,-0.0733337062544631+0i
3.95088038556951+0i,1.55986343165749+0i,-6.17309520342213+0i,-6.12359858755175+0i,0,-0,-0.0690014144599791+0i,-0.0723795883003088+0i
3.88984421013214+0i,1.55984682269746+0i,-6.24638315909122+0i,-6.19163442776737+0i,-0,0,-0.0732879556690931+0i,-0.0680358402156176+0i
3.94569532160152+0i,1.55983953421621+0i,-6.31575893711932+0i,-6.26365526796656+0i,0,-0,-0.0693757780280938+0i,-0.0720208401991858+0i
3.91841039780935+0i,1.55982160062989+0i,-6.38707373208057+0i,-6.33375662330035+0i,-0,-0,-0.0713147949612535+0i,-0.0701013553337906+0i
3.91822371097476+0i,1.55980814565439+0i,-6.45840161279915+0i,-6.4038446638793+0i,0,-0,-0.0713278807185749+0i,-0.0700880405789515+0i
