Alpha_0__Dr_0_1__H_0_5,Alpha_0__Dr_0_5__H_0_5,Alpha_0__Dr_0__H_0_5,Alpha_0__Dr_100__H_0_5,Alpha_0__Dr_10__H_0_5,Alpha_0__Dr_1__H_0_5,Alpha_0__Dr_5__H_0_5
4.1151844003355e-15,5.71909054203839e-15,5.41064360742033e-15,4.65317650422625e-15,7.82596534596881e-15,6.54555304320042e-15,8.62661703542878e-15
7.57605227502057e-15,7.61519447201606e-15,8.01885740541582e-15,7.92837515088139e-15,9.92754146431292e-15,8.29800300601803e-15,9.79710989537691e-15
2.14565049055543e-14,2.0903340857131e-14,2.05803526688952e-14,2.1719640545997e-14,2.13359854691434e-14,2.02660088475559e-14,2.22388006409204e-14
2.22976353157007e-14,2.18795722442064e-14,2.22716639730317e-14,2.06416100074059e-14,2.10391565142862e-14,2.15735032320887e-14,2.19797163825585e-14
3.92840161086008e-15,5.85438519940561e-15,6.6486058364472e-15,5.41796518533995e-15,8.33637079533621e-15,6.72625901658776e-15,9.06227238451672e-15
4.23762751288332e-15,5.91434191944051e-15,6.3889433155059e-15,5.35245107147407e-15,8.23999609230084e-15,6.62172094736496e-15,8.91475075616683e-15
4.44891861953653e-15,6.57214635067679e-15,7.26459896668567e-15,6.04264484922147e-15,8.31327600273223e-15,7.36566472413834e-15,9.42739019584951e-15
2.38218465277147e-14,2.37355746182353e-14,2.28559921385583e-14,2.29044170979689e-14,1.98318097243349e-14,2.21965145602776e-14,2.32112103360582e-14
2.50029298398041e-14,2.36036862659973e-14,2.31635978974586e-14,2.25229031750745e-14,2.20994158935218e-14,2.39874285807851e-14,2.28890084608465e-14
8.84891881106258e-15,9.6716834733434e-15,1.13923420538553e-14,8.36864380040088e-15,1.00221256776165e-14,8.70301897485423e-15,1.11752314868344e-14
4.39738587012721e-15,6.19425276727511e-15,7.61076847099177e-15,6.47216428096127e-15,8.51235828962392e-15,7.1996458583585e-15,9.24931267189002e-15
1.07283910156361e-14,1.21213173635831e-14,1.27667133493337e-14,1.14406068136379e-14,1.18861861171886e-14,1.21384746887592e-14,1.28833956794672e-14
2.47967622166854e-14,2.46636372936676e-14,2.33889149536053e-14,2.58233447300427e-14,2.33555869445043e-14,2.4658734617156e-14,2.31869461922351e-14
2.56519198201339e-14,2.59116152568992e-14,2.23434560722003e-14,2.369094045467e-14,2.29230148432832e-14,2.42072889115903e-14,2.46365398215214e-14
1.28975417715038e-14,1.51433376740467e-14,1.66284592669569e-14,1.5247167590444e-14,1.55249081594226e-14,1.41918734040269e-14,1.72800952309105e-14
4.32329158061778e-15,6.52006734080206e-15,8.77198001153899e-15,7.00852871555447e-15,9.26387313237352e-15,7.11824751544441e-15,1.04966134763036e-14
1.56297540762369e-14,1.72433515054568e-14,1.9477950656687e-14,1.64560408816736e-14,1.49416063494759e-14,1.57653633924735e-14,1.84276654214298e-14
2.76166228672687e-14,2.51540435688684e-14,2.45937020352085e-14,2.68771748222213e-14,2.6868914090585e-14,2.53997148008658e-14,2.58033807960729e-14
2.8770351344052e-14,2.70351154473298e-14,2.37309813445306e-14,2.55787977080641e-14,2.5014025627544e-14,2.6862716874778e-14,2.46821140370617e-14
1.80313509395612e-14,2.09982303186893e-14,2.13229758340208e-14,1.96172696811507e-14,1.82156297609087e-14,1.87750339781114e-14,2.0997191982264e-14
4.68501451074306e-15,6.65873410068334e-15,1.04574528717314e-14,7.69004674989124e-15,9.42318435571342e-15,7.51801146682301e-15,1.11642296207539e-14
2.22017824061172e-14,2.09856724426816e-14,2.31360285973252e-14,2.20991468265041e-14,1.95042885078812e-14,2.29195559402731e-14,2.19381054460658e-14
2.79080529142192e-14,2.59675479172127e-14,2.42454143864354e-14,2.86431009809571e-14,2.87978263484553e-14,2.62870774330733e-14,2.76782767928849e-14
2.87396778125228e-14,2.73149741983798e-14,2.46145665858847e-14,2.61663097891107e-14,2.75877559848912e-14,2.68794608261392e-14,2.75384257071409e-14
2.25633478234866e-14,2.34758698105757e-14,2.57328458928056e-14,2.28967140755877e-14,2.41317607559899e-14,2.2831524113493e-14,2.4090000033358e-14
4.61511044732055e-15,7.11295503382702e-15,1.15732389861781e-14,7.2276719108762e-15,1.0286419617805e-14,8.34255028700954e-15,1.18746745545707e-14
2.45022208381109e-14,2.53861331082325e-14,2.60988064208797e-14,2.64083435625409e-14,2.28336943238235e-14,2.5312321506443e-14,2.4005682693413e-14
2.94311579568929e-14,2.81351776842709e-14,2.7318819778519e-14,3.06336321540648e-14,2.93577943742093e-14,2.48038751724272e-14,2.65245722294044e-14
2.89808061339882e-14,2.98463121277379e-14,2.63611672564366e-14,2.83784391634241e-14,2.80341148622179e-14,2.61888731577929e-14,2.91066482260642e-14
2.69577313463204e-14,2.72941406081886e-14,2.95021893228952e-14,2.85294590324002e-14,2.71791610208929e-14,2.77124140760236e-14,2.76995370248973e-14
5.00532426120255e-15,7.41768542794028e-15,1.15162394504793e-14,7.22712342505406e-15,1.06774640888003e-14,8.5097966059277e-15,1.28798567288313e-14
2.9617251959028e-14,3.02877224241645e-14,2.92333046410926e-14,2.71108165250971e-14,2.57621755569234e-14,2.86475985370533e-14,3.0155241614626e-14
3.12333736629907e-14,2.96244787147547e-14,2.86852119745139e-14,3.34963577569815e-14,2.69736080340245e-14,2.8810418901824e-14,2.73162077453247e-14
3.07990817369598e-14,2.90523927987862e-14,2.50171157205692e-14,2.76548501586773e-14,2.97891456741504e-14,2.94715376893487e-14,2.75845227373987e-14
3.03938130034694e-14,3.0769722045717e-14,2.92297787492657e-14,3.120696323433e-14,3.14289787511711e-14,2.94779933134751e-14,2.89531624803657e-14
5.2692250439375e-15,7.49530397330368e-15,1.15251857073399e-14,8.22940545206342e-15,1.25278746406809e-14,8.48740727546873e-15,1.36578136297919e-14
3.33740022872632e-14,3.41494098583866e-14,3.45321918169588e-14,3.1920819679877e-14,2.60732765594109e-14,3.0600227619614e-14,3.19240483576741e-14
3.09046996036136e-14,2.78172110328107e-14,2.88887407128055e-14,3.40836442301019e-14,3.07640529150065e-14,3.07132417881546e-14,2.83311853043515e-14
3.21808003501103e-14,3.07689490439446e-14,2.84203146436361e-14,2.72534438457698e-14,3.00920759784147e-14,2.95725138938695e-14,2.93985445576831e-14
3.43902429594272e-14,3.41336190819955e-14,3.46959604221812e-14,3.52556289068481e-14,3.37091759990009e-14,3.48205014172576e-14,3.28877426929227e-14
5.22237312386112e-15,8.20818317784679e-15,1.25367313930354e-14,8.43117383424349e-15,1.25594772201309e-14,8.79296860917648e-15,1.44723362496836e-14
3.64671495039885e-14,3.40461731683072e-14,3.65730907258696e-14,3.1443102095302e-14,3.20232331875796e-14,3.58087647737711e-14,3.19210680513016e-14
